,Unnamed: 0,Unnamed: 0.1,Composer,clusters,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
70,70,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/wenn_wir_in_hoechsten_(mccloskey).mid,5.0,0,24.0,2.0,31.0,6.0,2.0,7.63,-0.5314,5.518,2.0,0.264,0.1011,0.264,0.6629,0.4562,1.928,4.904,5.084,0.1294,0.2436,0.0,4.0,4.0,1.0,0.8571,0.5284,0.025,0.03383,0.6,3.337,0.7331,44.0,0.05295,1.0,1.0,7.141,0.04403,0.2201,0.217,0.5189,0.0
71,71,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/wo_soll_ich_fliehen_hin_(mccloskey).mid,5.0,0,25.0,1.0,34.0,6.0,2.0,7.852,-0.07526000000000001,5.379,2.0,0.299,0.1804,0.232,0.6443,0.478,2.208,4.792,4.687,0.09346,0.1327,0.0,2.0,4.0,1.0,0.9899,0.5277,0.02,0.03799,0.75,3.762,0.9627,57.0,0.0621,1.0,1.0,6.351,0.08753999999999999,0.2155,0.2222,0.4747,0.0
0,0,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_101_(c)lefeldt.mid,6.0,0,65.0,0.0,76.0,4.0,2.0,12.84,0.0267,5.724,3.0,0.4056,0.0127,0.06261,0.1724,0.7059,2.584,25.31,7.081,0.246,0.3854,0.01332,1.0,8.0,2.0,0.8441,0.9081,0.009736,0.02496,0.3,7.5710000000000015,3.411,70.0,0.028010000000000004,0.25,1.0,0.0,0.047310000000000005,0.0803,0.08116,0.7912,8.812999999999997
1,1,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_104_2_(c)lefeldt.mid,6.0,0,65.0,0.0,69.0,4.0,2.0,12.02,-0.02017,5.979,5.0,0.4163,0.00375,0.045,0.1525,0.6374,1.875,16.3,5.955,0.2088,0.4165,0.002646,1.0,8.0,2.0,0.6791,0.5755,0.02802,0.02494,0.4,8.003,4.838,63.0,0.0279,0.375,1.0,0.0,0.02602,0.1516,0.060279999999999986,0.7621,9.881
2,2,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105_(c)lefeldt.mid,6.0,0,70.0,0.0,85.0,3.0,1.0,12.32,-0.2106,5.952000000000001,10.0,0.4691,0.03011,0.0626,0.1204,0.5572,2.016,21.01,7.115,0.2132,0.3422,0.02364,1.0,8.0,2.0,0.6456,0.616,0.0116,0.02454,0.4,9.669,4.64,70.0,0.02759,0.25,1.0,0.0,0.04526,0.09579,0.03684,0.8221,9.587
3,3,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105b_(c)lefeldt.mid,6.0,0,58.0,0.0,67.0,3.0,2.0,12.09,-0.2051,5.631,2.0,0.3858,0.02077,0.05027,0.1443,0.6987,2.113,20.81,5.797999999999999,0.2988,0.4942,0.007479,1.0,8.0,2.0,0.6829,0.5888,0.01293,0.02602,0.4,8.135,2.829,62.0,0.02919,0.375,1.0,0.0,0.042710000000000005,0.134,0.09671,0.7266,9.821
4,4,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_116_(c)lefeldt.mid,6.0,0,57.0,0.0,58.0,3.0,2.0,10.84,-0.2768,5.819,1.0,0.3033,0.02186,0.1858,0.3279,0.662,2.085,17.38,6.875,0.206,0.3232,0.001836,1.0,8.0,3.0,0.6522,0.5702,0.012819999999999998,0.02481,0.4,7.522,2.012,59.0,0.02975,0.4286,1.0,0.0,0.05535,0.07293999999999999,0.06932,0.8024,8.706
5,5,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_26_(c)lefeldt.mid,6.0,0,63.0,0.0,74.0,3.0,2.0,12.06,0.1059,5.9689999999999985,2.0,0.4145,0.01495,0.1124,0.3044,0.4505,2.247,13.6,6.367000000000001,0.2487,0.3166,0.06149,1.0,8.0,4.0,0.5772,0.4992,0.01455,0.0237,0.4,7.072,2.01,74.0,0.030760000000000006,0.3333,1.0,69.3,0.05272,0.1502,0.03781,0.7593,6.79
6,6,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_26_(c)oguri.mid,6.0,0,63.0,0.0,74.0,3.0,2.0,12.03,0.09958,5.988,4.0,0.3498,0.004202,0.04517,0.1208,0.4963,1.592,18.7,8.922,0.2165,0.2027,0.004985,4.0,4.0,1.0,0.5958,0.4867,0.1371,0.006558,0.2353,6.659,2.024,40.0,0.006558,0.2353,1.0,0.0,0.03918,0.3697,0.08234,0.5088,11.34
7,7,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_41_(c)lefeldt.mid,6.0,0,73.0,0.0,74.0,6.0,2.0,13.03,0.1593,5.726,2.0,0.3821,0.01888,0.0818,0.2152,0.6648,2.71,23.02,6.166,0.1788,0.3701,0.02684,1.0,8.0,7.0,0.6199,0.6349,0.03049,0.02118,0.4,9.186,3.469,62.0,0.02382,0.375,1.0,0.0,0.02789,0.09131,0.06935,0.8115,8.331
8,8,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_42_(c)lefeldt.mid,6.0,0,73.0,0.0,73.0,2.0,2.0,13.46,0.01522,5.737,2.0,0.3268,0.006568000000000001,0.1338,0.3321,0.6521,2.43,20.99,7.188,0.2539,0.4061,0.04149,6.0,8.0,4.0,0.4821,0.4963,0.04241,0.01502,0.4,7.184,3.506,43.0,0.02147,0.6,1.0,0.0,0.0314,0.1033,0.04998,0.8153,8.422
9,9,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_44_(c)lefeldt.mid,6.0,0,62.0,0.0,72.0,2.0,2.0,11.8,0.1189,5.7010000000000005,4.0,0.5061,0.013069999999999998,0.05322,0.1391,0.6793,3.324,26.93,6.098,0.2117,0.3518,0.04597,1.0,8.0,4.0,0.6914,0.7363,0.03527,0.02164,0.3,7.792999999999998,2.522,61.0,0.02458,0.375,1.0,0.0,0.03508,0.11,0.07428,0.7806,9.794
10,10,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_66_(c)lefeldt.mid,6.0,0,74.0,0.0,74.0,2.0,2.0,14.22,0.2509,5.757999999999999,4.0,0.4317,0.004975,0.03704,0.08900000000000001,0.6511,2.236,23.35,6.4670000000000005,0.2787,0.417,0.02506,1.0,8.0,5.0,0.6023,0.5474,0.013030000000000002,0.02542,0.4,8.437999999999999,3.313,88.0,0.03046,0.4286,1.0,0.0,0.05639,0.1259,0.08962,0.7281,10.02
11,11,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_70_(c)lefeldt.mid,6.0,0,68.0,0.0,73.0,3.0,1.0,12.85,0.1772,5.584,2.0,0.3537,0.01074,0.09752,0.2727,0.67,2.92,26.85,6.6720000000000015,0.304,0.37,0.03762,1.0,8.0,2.0,0.6376,0.7331,0.01245,0.02227,0.4,7.831,2.352,90.0,0.02511,0.375,1.0,0.0,0.03778,0.07758,0.067,0.8176,9.668
12,12,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_90_(c)lefeldt.mid,6.0,0,64.0,0.0,68.0,2.0,2.0,12.89,-0.07072,5.575,1.0,0.3655,0.01317,0.1065,0.1932,0.6719,2.583,24.7,7.629,0.2698,0.4402,0.03059,1.0,8.0,3.0,1.453,1.167,0.02764,0.03134,0.6,6.752999999999999,2.793,60.0,0.0241,0.375,1.0,0.0,0.03284,0.09421,0.0363,0.8366,9.128
13,13,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_96_(c)lefeldt.mid,6.0,0,68.0,0.0,76.0,3.0,2.0,11.88,0.04499,6.091,2.0,0.3651,0.0156,0.1037,0.2495,0.6701,2.656,24.29,6.882999999999999,0.2874,0.3828,0.01317,1.0,8.0,2.0,0.6399,0.5502,0.03737,0.02515,0.3,8.627,3.197,71.0,0.028260000000000007,0.25,1.0,0.0,0.08129,0.1235,0.06462000000000001,0.7306,9.268
14,14,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/cantique_jean_racine_(c)gray.mid,6.0,1,47.0,3.0,49.0,6.0,2.0,9.487,-0.6576,6.597,1.0,0.4833,0.1404,0.141,0.2743,0.4474,2.009,9.459,5.046,0.1672,0.2639,0.04,4.0,4.0,1.0,0.912,0.9202,0.0,0.028460000000000006,0.375,7.749,2.774,40.0,0.035910000000000004,0.6,3.0,355.3,0.1091,0.1364,0.1957,0.5588,1.616
15,15,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_1_(c)halstead.mid,6.0,1,55.0,0.0,60.0,4.0,2.0,13.43,0.08298,5.261,7.0,0.5981,0.04019,0.05646,0.1923,0.4855,1.585,8.264,5.654,0.2712,0.414,0.09042,2.0,4.0,1.0,0.7187,0.4724,0.001954,0.02238,0.25,6.601,1.6780000000000002,56.0,0.03437,1.0,1.0,214.3,0.03418,0.1767,0.1107,0.6784,6.237
16,16,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_1_(c)oguri.mid,6.0,1,54.0,0.0,60.0,4.0,2.0,13.3,0.2514,5.2860000000000005,12.0,0.5583,0.03198,0.02074,0.08297,0.4964,1.476,13.55,7.089,0.1559,0.2398,0.04012,4.0,4.0,1.0,1.127,0.7586,0.07468999999999999,0.009534,0.5,6.941,2.511,43.0,0.009534,0.5,1.0,222.0,0.03733,0.2967,0.0661,0.5998,13.42
17,17,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_1_(c)yogore.mid,6.0,0,54.0,0.0,60.0,4.0,2.0,12.99,-0.02209,5.375,7.0,0.6117,0.04123,0.03452,0.162,0.433,1.6780000000000002,9.022,4.303,0.1819,0.2715,0.01592,2.0,4.0,1.0,0.5999,0.4397,0.0,0.02762,0.4,9.938,2.699,43.0,0.03271,0.75,1.0,112.1,0.053610000000000005,0.1721,0.1794,0.595,1.365
18,18,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_2_(c)halstead.mid,6.0,0,70.0,0.0,75.0,6.0,2.0,14.54,0.09451,5.587999999999999,2.0,0.4661,0.07497999999999999,0.1319,0.2791,0.3887,2.376,12.76,4.427,0.2264,0.336,0.0901,3.0,4.0,1.0,0.9257,0.644,0.1314,0.03955,0.6667,12.34,3.878,100.0,0.02944,0.5,1.0,101.1,0.125,0.2151,0.171,0.489,4.55
19,19,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_2_(c)oguri.mid,6.0,0,70.0,0.0,75.0,6.0,2.0,14.5,0.1483,5.621,12.0,0.5514,0.02905,0.037160000000000006,0.1007,0.4809,1.53,14.33,6.086,0.2451,0.29100000000000004,0.08241,4.0,4.0,1.0,0.3006,0.4446,0.375,0.007821,0.4,13.08,5.2410000000000005,41.0,0.007821,0.4,1.0,84.85,0.06869,0.4252,0.1034,0.4027,9.378
20,20,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_2_(c)yogore.mid,6.0,1,73.0,0.0,77.0,6.0,2.0,14.83,0.1729,5.596,2.0,0.4477,0.07852,0.13,0.269,0.4065,1.99,12.22,4.25,0.1489,0.263,0.04972,3.0,4.0,2.0,0.652,0.7201,0.2962,0.039560000000000005,0.6667,14.43,4.902,78.0,0.03078,0.2,1.0,208.4,0.1609,0.173,0.1972,0.4689,2.282
21,21,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_3_(c)halstead.mid,6.0,0,60.0,0.0,65.0,2.0,2.0,12.82,0.2266,5.516,2.0,0.3879,0.0339,0.1375,0.3578,0.5019,2.115,9.986,6.792999999999998,0.3272,0.4982,0.05624,3.0,4.0,1.0,0.6997,0.624,0.022,0.02069,0.4,6.697,1.617,58.0,0.02888,0.5,1.0,72.12,0.036910000000000005,0.2181,0.101,0.6439,3.91
22,22,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_3_(c)oguri.mid,6.0,0,59.0,0.0,65.0,2.0,2.0,12.79,0.2472,5.528,12.0,0.5041,0.0189,0.0432,0.1512,0.5211,1.778,13.73,7.062,0.2594,0.4143,0.03073,4.0,4.0,1.0,1.088,0.9161,0.06642999999999999,0.007372,0.1538,6.848,2.291,40.0,0.007372,0.1538,1.0,67.18,0.03382,0.2514,0.05159,0.6632,10.54
23,23,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_3_(c)yogore.mid,6.0,0,59.0,0.0,65.0,2.0,2.0,12.82,0.2248,5.51,2.0,0.408,0.03081,0.127,0.3455,0.5116,2.242,10.03,5.8260000000000005,0.1707,0.321,0.00321,3.0,4.0,2.0,0.5607,0.7003,0.00606,0.02449,0.3,7.386,1.97,64.0,0.03515,0.4,1.0,171.4,0.06752999999999999,0.1113,0.1464,0.6747,1.849
24,24,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)halstead.mid,6.0,0,60.0,0.0,66.0,3.0,2.0,13.81,0.04923,5.519,2.0,0.3063,0.02411,0.1955,0.5009,0.4657,2.854,11.9,6.689,0.2964,0.4164,0.0793,3.0,4.0,1.0,1.6369999999999998,1.021,0.01805,0.03887,0.6667,8.976,1.711,90.0,0.03119,0.6,1.0,122.3,0.07771,0.203,0.09827,0.6211,5.462999999999999
25,25,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)oguri.mid,6.0,0,60.0,0.0,66.0,3.0,2.0,13.82,0.04513,5.523,2.0,0.3953,0.0028190000000000003,0.1071,0.2713,0.5329,1.745,13.9,7.9060000000000015,0.2484,0.3628,0.04371,4.0,4.0,1.0,0.9016,0.7695,0.06774,0.007984,0.5,7.86,2.576,43.0,0.007984,0.5,1.0,123.0,0.0408,0.3032,0.06291000000000001,0.5931,9.417
26,26,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_4_(c)yogore.mid,6.0,1,60.0,0.0,66.0,3.0,2.0,13.8,0.04032,5.5139999999999985,2.0,0.3294,0.02244,0.1741,0.4587,0.4637,2.55,13.5,5.908,0.1841,0.3053,0.003606,3.0,4.0,2.0,1.337,1.086,0.013369999999999998,0.03921,0.6667,9.995,1.608,99.0,0.02915,0.4,1.0,214.7,0.1052,0.05004,0.1026,0.7422,2.137
27,27,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)halstead.mid,6.0,1,60.0,0.0,64.0,3.0,2.0,12.56,-0.2986,5.707999999999998,2.0,0.3996,0.06585,0.1484,0.375,0.4253,1.929,10.53,6.352,0.3072,0.4797,0.0273,3.0,4.0,1.0,0.8667,0.6921,0.016909999999999998,0.026330000000000003,0.6,4.513,1.325,50.0,0.03954,1.0,1.0,247.5,0.04769,0.1083,0.1292,0.7148,5.239
28,28,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)oguri.mid,6.0,1,60.0,0.0,64.0,3.0,2.0,12.55,-0.2898,5.716,12.0,0.5287,0.01753,0.058420000000000014,0.1529,0.4836,1.531,14.08,6.8,0.2563,0.4225,0.02748,4.0,4.0,1.0,1.777,1.766,0.0485,0.007406999999999999,0.2,4.671,1.843,43.0,0.007406999999999999,0.2,1.0,246.8,0.03142,0.2556,0.04749,0.6655,10.6
29,29,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_5_(c)yogore.mid,6.0,0,60.0,0.0,64.0,3.0,2.0,12.58,-0.2981,5.718,2.0,0.3869,0.08371,0.1425,0.371,0.4025,2.115,12.1,5.872999999999998,0.2282,0.4155,0.005215,3.0,4.0,1.0,0.8271,0.738,0.0,0.03053,0.4,6.372000000000001,1.617,70.0,0.039810000000000005,0.6667,1.0,112.9,0.09118,0.1006,0.1529,0.6553,1.957
30,30,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)halstead.mid,6.0,0,70.0,0.0,76.0,6.0,2.0,14.36,-0.4248,5.502999999999999,2.0,0.3056,0.03632,0.1496,0.4808,0.444,2.153,9.16,4.805,0.2406,0.4613,0.030080000000000006,3.0,8.0,1.0,0.4795,0.5668,0.01816,0.02433,0.3,16.69,5.8039999999999985,73.0,0.02572,0.2222,1.0,81.32,0.1602,0.1775,0.1227,0.5395,5.964
31,31,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)oguri.mid,6.0,0,71.0,0.0,79.0,6.0,2.0,14.19,-0.03992,5.56,2.0,0.4117,0.02075,0.05025,0.2162,0.4906,1.47,14.4,6.019,0.2892,0.4531,0.0205,4.0,4.0,1.0,0.3601,0.5155,0.1433,0.006895999999999999,0.2308,17.87,7.255,40.0,0.006895999999999999,0.2308,1.0,65.76,0.0737,0.2829,0.07038,0.573,9.984
32,32,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/dolly_suite_6_(c)yogore.mid,6.0,0,71.0,0.0,76.0,7.0,2.0,14.16,-0.2155,5.55,2.0,0.315,0.0317,0.1123,0.4704,0.4686,1.837,9.319,4.581,0.2241,0.4782,0.01325,3.0,8.0,1.0,0.4388,0.5476,0.05609,0.02351,0.3,21.39,6.5379999999999985,92.0,0.02136,0.3333,1.0,161.0,0.1686,0.1431,0.1111,0.5772,3.313
33,33,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/impromptu_1_(c)dery.mid,6.0,0,74.0,0.0,77.0,3.0,2.0,14.79,0.2269,5.5870000000000015,5.0,0.4743,0.03009,0.08009,0.1637,0.5871,1.858,12.31,6.403,0.2412,0.3173,0.001538,6.0,4.0,2.0,0.6435,0.3486,0.02175,0.03243,0.6,13.12,4.604,197.0,0.02399,0.1111,1.0,0.0,0.1245,0.3328,0.2496,0.2931,3.2230000000000003
